A.KQT.JT872.J962 K8542.3.A43.Q743 Q9763.A9874.96.8 JT.J652.KQ5.AKT5:77778888656587879999
4.AQ9654.Q874.95 KJ9753.K.KJT2.T6 A62.J832.5.QJ873 QT8.T7.A963.AK42:6666BABA4343A9A96666
965.AQT.Q852.Q84 KQJ3.8752..KT973 A8.J43.AKJT76.52 T742.K96.943.AJ6:53539999656533339888
984.654.K982.J76 KQ75.QJ92.A64.43 AJ.KT873.JT7.K98 T632.A.Q53.AQT52:9898BABB77778888A9A9
T4.975.Q6.KJT982 AQJ3.86.K98753.7 9765.KT3.AJ42.Q5 K82.AQJ42.T.A643:AAAABBBBBBCBBBBB7777
T3.AQT954.QT.QJ3 642.8.A4.KT97642 AK75.K3.KJ9862.5 QJ98.J762.753.A8:43435454323232328888
T76.AQT632.7.K96 AJ9.J9.KJ95.QT73 K42.K8754.AQ3.42 Q853..T8642.AJ85:43437777222299998888
QJ9543.T.K843.75 K2.75.A762.KQJT3 86.J863.JT9.9864 AT7.AKQ942.Q5.A2:DDDD9899DDDDAAAADDDD
42.A976.AT984.97 Q3.T543.QJ6.JT64 K87.82.K753.Q853 AJT965.KQJ.2.AK2:99A999B999A9666688A8
A42.KJT7.AQT.KQ5 9875.8.J8754.J96 QJ.A543.K3.87432 KT63.Q962.962.AT:11115454111154542121
T9876.654.AQJ4.5 AQ4.AQT.72.Q9873 52.982.KT3.KJ642 KJ3.KJ73.9865.AT:88888888A9A988889999
J9832.KJT52..K72 KQ75.Q93.Q976.43 A64.864.AK53.QJ5 T.A7.JT842.AT986:66665555444488887677
QJ872.T64.A73.T6 AT3.KQ.T542.K954 965.975.KQ9.Q832 K4.AJ832.J86.AJ7:AAAA8888AAAAA9A9A9A9
KT.J76542.95.KQ3 QJ872.Q.K7432.52 A64.AKT.AQT8.874 953.983.J6.AJT96:11115555111144444444
JT3.KT532.J8.865 A862.964.QT3.942 KQ97.A7.AK654.K7 54.QJ8.972.AQJT3:66664343545444448686
98653..T9875.632 J4.A863.Q432.854 7.J9752.A6.KQT97 AKQT2.KQT4.KJ.AJ:CACACACA999998987677
632.AQ.Q643.JT94 AQJT7.K984.2.753 K9.52.AKT95.K862 854.JT763.J87.AQ:7676AAAAAAA944545454
KQT52.85.AQ.K982 J.AJ.98532.T7654 94.KT9642.KT4.Q3 A8763.Q73.J76.AJ:55555454555577877676
T543.J87.K6.Q863 QJ87.A5.AQJ98.K4 A9.KT64.7532.JT2 K62.Q932.T4.A975:BBBBBBBBA9A9BBBBA9A9
AQT74.Q4.T72.952 853.753.QJ84.T73 KJ6.KJT962.K53.4 92.A8.A96.AKQJ86:989855554444A999A9A9
